地區,年分,房,廳,衛,室,車位,樓層,總樓層,房價(萬),海拔
北投區,3.8,4.0,2.0,2.0,0.0,1,4,5,4280.0,84.617
大安區,35.5,3.0,2.0,2.0,0.0,0,26,26,7800.0,6.163
大安區,34.2,2.0,2.0,1.0,0.0,0,3,7,4880.0,5.084
大安區,40.8,1.0,1.0,1.0,0.0,0,5,7,1030.0,4.316
北投區,53.0,2.0,2.0,1.0,0.0,0,1,2,1080.0,14.72
大安區,34.1,3.0,2.0,2.0,0.0,0,2,14,4666.0,4.751
大安區,38.8,3.0,2.0,2.0,0.0,0,2,7,5680.0,4.876
大安區,25.8,2.0,2.0,2.0,0.0,1,3,5,6958.0,5.305
北投區,8.8,3.0,2.0,4.0,0.0,1,21,27,9900.0,1.407
大安區,51.7,3.0,2.0,1.0,0.0,0,4,4,3100.0,5.305
大安區,14.2,1.0,1.0,1.0,0.0,0,3,14,1970.0,3.891
大安區,5.4,4.0,2.0,3.0,0.0,1,11,23,11988.0,8.98
北投區,9.8,3.0,3.0,4.0,0.0,1,7,10,6200.0,1.244
大安區,33.8,0.0,1.0,1.0,0.0,0,7,12,4250.0,3.891
大安區,39.4,3.0,2.0,2.0,2.0,0,2,5,3488.0,7.251
大安區,36.6,0.0,1.0,0.0,1.0,0,9,14,3060.0,3.77
北投區,39.4,3.0,2.0,2.0,0.0,0,2,5,1280.0,47.625
大安區,10.2,1.0,2.0,1.0,0.0,1,2,7,3338.0,6.257
大安區,21.5,0.0,2.0,4.0,2.0,1,1,9,15000.0,4.108
大安區,0.8,1.0,2.0,1.0,0.0,1,3,15,3025.0,6.326
北投區,39.3,1.0,0.0,1.0,0.0,0,7,7,620.0,148.535
大安區,43.8,2.0,2.0,1.0,0.0,0,2,4,2150.0,6.163
北投區,25.9,1.0,0.0,1.0,0.0,0,3,6,568.0,17.618
大安區,41.4,3.0,2.0,3.0,0.0,0,3,7,3980.0,6.418
北投區,55.5,3.0,2.0,0.5,0.5,0,1,1,2588.0,14.958
北投區,24.8,3.0,2.0,2.0,0.0,0,1,7,2398.0,31.409
大安區,40.6,3.0,2.0,2.0,0.0,0,3,11,3680.0,6.326
大安區,34.4,4.0,2.0,2.0,0.0,0,4,7,4380.0,5.084
大安區,32.5,4.0,2.0,1.5,1.5,0,3,7,4468.0,6.332
大安區,41.5,3.0,2.0,2.0,0.0,1,6,12,3980.0,5.305
北投區,38.2,0.0,4.0,2.0,0.0,0,-1,5,14200.0,5.226
大安區,37.0,3.0,2.0,2.0,2.0,0,4,5,2580.0,9.118
大安區,40.1,4.0,0.0,4.0,0.0,0,5,5,2880.0,6.793
大安區,39.1,0.0,2.0,1.0,0.0,0,-1,7,5500.0,5.305
北投區,3.8,4.0,2.0,2.0,1.0,1,3,5,5880.0,84.617
大安區,40.2,4.0,2.0,2.0,0.0,0,2,7,4200.0,3.77
大安區,6.8,1.0,0.0,1.0,0.0,0,1,7,950.0,3.891
大安區,39.5,4.0,2.0,3.0,0.0,0,2,7,6000.0,6.326
大安區,21.5,0.0,1.0,2.0,1.0,1,1,9,7288.0,4.108
