嚴重程度,時,分,區,天候,光線,道路類別,速限,道路型態,事故位置,路面狀態,路面缺陷,障礙物,視距,號誌種類,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,車輛用途,當事者行動狀態,駕駛資格情形,飲酒情形,車輛撞擊部位最初,肇事因素個別,肇事因素主要,職業
0,21,27,南屯區,8,3,5,50,3,1,5,4,5,7,2,16,6,3,10,1,7,6,1,2,5,6,6,22
1,21,40,西區,8,3,5,50,4,1,5,4,5,7,1,3,14,2,9,1,7,9,1,2,11,14,14,21
1,22,30,大里區,8,3,5,60,14,7,5,4,5,7,4,3,51,1,9,4,8,16,8,10,16,51,51,5
0,22,48,東區,8,3,5,50,4,1,5,4,5,7,2,16,6,3,10,1,7,5,1,2,1,6,6,21
0,23,0,沙鹿區,8,3,5,50,5,1,5,4,5,7,2,13,23,3,10,1,7,9,3,2,1,23,23,21
0,23,15,南區,8,3,5,50,14,9,5,4,5,7,4,17,23,2,9,1,7,9,2,2,11,23,23,22
1,0,22,西屯區,8,3,5,50,5,1,5,4,5,7,2,16,25,3,10,1,7,5,1,2,2,25,25,21
0,1,11,西屯區,8,3,5,50,14,9,5,4,5,7,1,16,19,3,10,1,7,1,1,2,8,19,19,22
0,2,35,北屯區,8,3,5,50,4,1,5,4,5,7,2,16,23,3,10,1,7,9,1,2,5,23,23,21
1,3,50,西區,8,3,5,50,4,1,5,4,5,7,3,15,6,2,9,1,7,9,1,2,12,6,6,20
0,3,56,大肚區,8,3,5,50,14,9,5,4,5,7,1,11,4,2,9,2,7,9,3,5,11,4,4,21
1,5,3,霧峰區,8,3,5,40,4,1,5,4,5,7,1,15,23,2,9,1,7,9,1,2,11,23,23,4
0,5,10,西區,8,1,5,50,4,1,5,4,5,7,1,16,6,3,10,1,7,6,3,2,5,6,6,21
0,6,50,烏日區,8,1,5,70,4,1,5,4,5,7,2,13,23,2,9,1,7,9,1,2,11,23,23,21
1,7,3,西屯區,8,1,5,50,4,1,5,4,5,7,1,16,19,2,9,1,7,1,1,2,14,19,19,22
0,7,17,龍井區,8,1,5,50,4,1,5,4,5,7,4,16,6,2,1,3,7,5,1,2,12,6,6,21
1,7,20,大雅區,8,1,5,30,4,1,5,4,5,7,4,17,6,2,9,1,7,5,8,2,16,6,6,22
1,7,20,龍井區,8,1,5,50,14,9,5,4,5,7,4,16,8,2,8,3,7,5,1,2,12,8,8,22
0,7,23,潭子區,8,1,5,50,14,9,5,4,5,7,4,17,43,3,10,1,7,9,1,2,15,43,43,22
0,7,24,西屯區,8,1,5,50,4,1,5,4,5,7,1,17,42,2,9,1,7,9,1,2,13,42,42,21
0,7,35,大里區,8,1,5,50,14,9,5,4,5,7,1,13,23,2,8,1,7,9,1,2,11,23,23,21
1,7,38,豐原區,7,1,5,50,3,1,5,4,5,7,4,17,23,2,8,1,7,5,1,2,13,23,23,22
1,7,48,烏日區,8,1,5,70,14,8,5,4,5,7,4,16,19,3,10,1,7,1,1,2,5,19,19,10
0,7,50,北屯區,7,1,5,50,4,1,5,4,5,7,1,16,6,3,10,1,7,5,3,2,11,6,6,20
0,7,56,南屯區,8,1,5,50,3,2,5,4,5,7,1,13,16,3,10,1,7,9,1,1,1,16,16,22
0,8,6,大肚區,8,1,5,70,3,1,5,4,5,7,1,15,25,3,10,1,7,9,3,2,12,25,25,2
0,8,8,西區,8,1,5,50,14,7,5,4,5,7,1,13,23,3,10,1,7,9,1,1,11,23,23,21
0,8,17,大里區,8,1,5,50,14,9,5,4,5,7,4,16,26,3,10,1,7,11,1,2,4,26,26,21
